01.10.2020;"77,21";01.10.2020;"77,21"
02.10.2020;"78,16";02.10.2020;"78,16"
03.10.2020;"78,19";03.10.2020;"78,19"
04.10.2020;"78,14";04.10.2020;"78,14"
05.10.2020;"78,11";05.10.2020;"78,11"
06.10.2020;"78,37";06.10.2020;"78,37"
07.10.2020;"78,08";07.10.2020;"78,08"
08.10.2020;"77,28";08.10.2020;"77,28"
09.10.2020;"76,73";09.10.2020;"76,73"
10.10.2020;"76,77";10.10.2020;"76,77"
11.10.2020;"76,84";11.10.2020;"76,84"
12.10.2020;"77,00";12.10.2020;"77,00"
13.10.2020;"77,03";13.10.2020;"77,03"
14.10.2020;"77,72";14.10.2020;"77,72"
15.10.2020;"77,92";15.10.2020;"77,92"
16.10.2020;"77,77";16.10.2020;"77,77"
17.10.2020;"77,80";17.10.2020;"77,80"
18.10.2020;"77,52";18.10.2020;"77,52"
19.10.2020;"77,59";19.10.2020;"77,59"
20.10.2020;"77,28";20.10.2020;"77,28"
21.10.2020;"76,68";21.10.2020;"76,68"
22.10.2020;"76,54";22.10.2020;"76,54"
23.10.2020;"76,18";23.10.2020;"76,18"
24.10.2020;"76,22";24.10.2020;"76,22"
25.10.2020;"76,17";25.10.2020;"76,17"
26.10.2020;"76,45";26.10.2020;"76,45"
27.10.2020;"77,29";27.10.2020;"77,29"
28.10.2020;"79,05";28.10.2020;"79,05"
29.10.2020;"78,84";29.10.2020;"78,84"
30.10.2020;"79,34";30.10.2020;"79,34"
31.10.2020;"79,37";31.10.2020;"79,37"
01.11.2020;"79,47";01.11.2020;"79,47"
02.11.2020;"80,52";02.11.2020;"80,52"
03.11.2020;"79,05";03.11.2020;"79,05"
04.11.2020;"77,56";04.11.2020;"77,56"
05.11.2020;"76,89";05.11.2020;"76,89"
06.11.2020;"77,40";06.11.2020;"77,40"
07.11.2020;"77,43";07.11.2020;"77,43"
08.11.2020;"77,32";08.11.2020;"77,32"
09.11.2020;"76,26";09.11.2020;"76,26"
10.11.2020;"76,46";10.11.2020;"76,46"
11.11.2020;"77,05";11.11.2020;"77,05"
12.11.2020;"77,07";12.11.2020;"77,07"
13.11.2020;"77,27";13.11.2020;"77,27"
14.11.2020;"77,30";14.11.2020;"77,30"
15.11.2020;"77,32";15.11.2020;"77,32"
16.11.2020;"76,28";16.11.2020;"76,28"
17.11.2020;"76,21";17.11.2020;"76,21"
18.11.2020;"75,88";18.11.2020;"75,88"
19.11.2020;"76,17";19.11.2020;"76,17"
20.11.2020;"76,18";20.11.2020;"76,18"
21.11.2020;"76,21";21.11.2020;"76,21"
22.11.2020;"76,21";22.11.2020;"76,21"
23.11.2020;"75,96";23.11.2020;"75,96"
24.11.2020;"75,42";24.11.2020;"75,42"
25.11.2020;"75,45";25.11.2020;"75,45"
26.11.2020;"75,65";26.11.2020;"75,65"
27.11.2020;"76,04";27.11.2020;"76,04"
28.11.2020;"76,08";28.11.2020;"76,08"
29.11.2020;"75,99";29.11.2020;"75,99"
30.11.2020;"76,40";30.11.2020;"76,40"
01.12.2020;"75,96";01.12.2020;"75,96"
02.12.2020;"75,11";02.12.2020;"75,11"
03.12.2020;"74,49";03.12.2020;"74,49"
04.12.2020;"74,09";04.12.2020;"74,09"
05.12.2020;"74,12";05.12.2020;"74,12"
06.12.2020;"73,86";06.12.2020;"73,86"
07.12.2020;"73,75";07.12.2020;"73,75"
08.12.2020;"73,34";08.12.2020;"73,34"
09.12.2020;"73,61";09.12.2020;"73,61"
10.12.2020;"73,08";10.12.2020;"73,08"
11.12.2020;"73,12";11.12.2020;"73,12"
12.12.2020;"73,15";12.12.2020;"73,15"
13.12.2020;"73,03";13.12.2020;"73,03"
14.12.2020;"74,12";14.12.2020;"74,12"
15.12.2020;"73,28";15.12.2020;"73,28"
16.12.2020;"73,35";16.12.2020;"73,35"
17.12.2020;"73,09";17.12.2020;"73,09"
18.12.2020;"73,39";18.12.2020;"73,39"
19.12.2020;"73,43";19.12.2020;"73,43"
20.12.2020;"73,48";20.12.2020;"73,48"
21.12.2020;"74,55";21.12.2020;"74,55"
22.12.2020;"75,88";22.12.2020;"75,88"
23.12.2020;"75,02";23.12.2020;"75,02"
24.12.2020;"74,03";24.12.2020;"74,03"
25.12.2020;"74,03";25.12.2020;"74,03"
26.12.2020;"74,06";26.12.2020;"74,06"
27.12.2020;"73,95";27.12.2020;"73,95"
28.12.2020;"73,93";28.12.2020;"73,93"
29.12.2020;"74,02";29.12.2020;"74,02"
30.12.2020;"74,52";30.12.2020;"74,52"
31.12.2020;"73,91";31.12.2020;"73,91"
01.01.2021;"73,91";01.01.2021;"73,91"
02.01.2021;"73,95";02.01.2021;"73,95"
03.01.2021;"74,13";03.01.2021;"74,13"
04.01.2021;"74,48";04.01.2021;"74,48"
05.01.2021;"74,14";05.01.2021;"74,14"
06.01.2021;"74,09";06.01.2021;"74,09"
07.01.2021;"74,60";07.01.2021;"74,60"
08.01.2021;"74,05";08.01.2021;"74,05"
09.01.2021;"74,08";09.01.2021;"74,08"
10.01.2021;"74,40";10.01.2021;"74,40"
11.01.2021;"74,63";11.01.2021;"74,63"
12.01.2021;"73,44";12.01.2021;"73,44"
13.01.2021;"73,85";13.01.2021;"73,85"
14.01.2021;"73,33";14.01.2021;"73,33"
15.01.2021;"73,48";15.01.2021;"73,48"
16.01.2021;"73,52";16.01.2021;"73,52"
17.01.2021;"73,60";17.01.2021;"73,60"
18.01.2021;"73,93";18.01.2021;"73,93"
19.01.2021;"73,77";19.01.2021;"73,77"
20.01.2021;"73,45";20.01.2021;"73,45"
21.01.2021;"73,95";21.01.2021;"73,95"
22.01.2021;"75,23";22.01.2021;"75,23"
23.01.2021;"75,26";23.01.2021;"75,26"
24.01.2021;"75,31";24.01.2021;"75,31"
25.01.2021;"75,28";25.01.2021;"75,28"
26.01.2021;"75,07";26.01.2021;"75,07"
27.01.2021;"75,87";27.01.2021;"75,87"
28.01.2021;"76,17";28.01.2021;"76,17"
29.01.2021;"75,92";29.01.2021;"75,92"
30.01.2021;"75,92";30.01.2021;"75,92"
31.01.2021;"75,88";31.01.2021;"75,88"
01.02.2021;"76,11";01.02.2021;"76,11"
02.02.2021;"76,22";02.02.2021;"76,22"
03.02.2021;"75,89";03.02.2021;"75,89"
04.02.2021;"75,49";04.02.2021;"75,49"
05.02.2021;"74,61";05.02.2021;"74,61"
06.02.2021;"74,65";06.02.2021;"74,65"
07.02.2021;"74,61";07.02.2021;"74,61"
08.02.2021;"74,32";08.02.2021;"74,32"
09.02.2021;"73,88";09.02.2021;"73,88"
10.02.2021;"73,87";10.02.2021;"73,87"
11.02.2021;"73,64";11.02.2021;"73,64"
12.02.2021;"73,62";12.02.2021;"73,62"
13.02.2021;"73,62";13.02.2021;"73,62"
14.02.2021;"73,57";14.02.2021;"73,57"
15.02.2021;"73,33";15.02.2021;"73,33"
16.02.2021;"73,54";16.02.2021;"73,54"
17.02.2021;"73,72";17.02.2021;"73,72"
18.02.2021;"73,83";18.02.2021;"73,83"
19.02.2021;"74,01";19.02.2021;"74,01"
20.02.2021;"74,04";20.02.2021;"74,04"
21.02.2021;"74,14";21.02.2021;"74,14"
22.02.2021;"74,22";22.02.2021;"74,22"
23.02.2021;"74,07";23.02.2021;"74,07"
24.02.2021;"73,49";24.02.2021;"73,49"
25.02.2021;"74,71";25.02.2021;"74,71"
26.02.2021;"74,55";26.02.2021;"74,55"
27.02.2021;"74,58";27.02.2021;"74,58"
28.02.2021;"74,67";28.02.2021;"74,67"
01.03.2021;"74,25";01.03.2021;"74,25"
02.03.2021;"73,79";02.03.2021;"73,79"
03.03.2021;"74,01";03.03.2021;"74,01"
04.03.2021;"74,56";04.03.2021;"74,56"
05.03.2021;"74,31";05.03.2021;"74,31"
06.03.2021;"74,35";06.03.2021;"74,35"
07.03.2021;"74,33";07.03.2021;"74,33"
08.03.2021;"74,47";08.03.2021;"74,47"
09.03.2021;"74,03";09.03.2021;"74,03"
10.03.2021;"73,52";10.03.2021;"73,52"
11.03.2021;"73,30";11.03.2021;"73,30"
12.03.2021;"73,23";12.03.2021;"73,23"
13.03.2021;"73,26";13.03.2021;"73,26"
14.03.2021;"73,32";14.03.2021;"73,32"
15.03.2021;"72,74";15.03.2021;"72,74"
16.03.2021;"72,87";16.03.2021;"72,87"
17.03.2021;"73,65";17.03.2021;"73,65"
18.03.2021;"74,32";18.03.2021;"74,32"
19.03.2021;"74,22";19.03.2021;"74,22"
20.03.2021;"74,25";20.03.2021;"74,25"
21.03.2021;"74,15";21.03.2021;"74,15"
22.03.2021;"74,80";22.03.2021;"74,80"
23.03.2021;"76,33";23.03.2021;"76,33"
24.03.2021;"76,62";24.03.2021;"76,62"
25.03.2021;"76,12";25.03.2021;"76,12"
26.03.2021;"75,98";26.03.2021;"75,98"
27.03.2021;"76,01";27.03.2021;"76,01"
28.03.2021;"75,66";28.03.2021;"75,66"
29.03.2021;"75,65";29.03.2021;"75,65"
30.03.2021;"75,90";30.03.2021;"75,90"
31.03.2021;"75,67";31.03.2021;"75,67"
01.04.2021;"76,26";01.04.2021;"76,26"
02.04.2021;"76,40";02.04.2021;"76,40"
03.04.2021;"76,44";03.04.2021;"76,44"
04.04.2021;"76,42";04.04.2021;"76,42"
05.04.2021;"76,43";05.04.2021;"76,43"
06.04.2021;"77,00";06.04.2021;"77,00"
07.04.2021;"77,16";07.04.2021;"77,16"
08.04.2021;"76,79";08.04.2021;"76,79"
09.04.2021;"77,39";09.04.2021;"77,39"
10.04.2021;"77,37";10.04.2021;"77,37"
11.04.2021;"77,39";11.04.2021;"77,39"
12.04.2021;"77,29";12.04.2021;"77,29"
13.04.2021;"75,92";13.04.2021;"75,92"
14.04.2021;"76,01";14.04.2021;"76,01"
15.04.2021;"76,08";15.04.2021;"76,08"
16.04.2021;"75,57";16.04.2021;"75,57"
17.04.2021;"75,61";17.04.2021;"75,61"
18.04.2021;"75,96";18.04.2021;"75,96"
19.04.2021;"76,27";19.04.2021;"76,27"
20.04.2021;"76,82";20.04.2021;"76,82"
21.04.2021;"76,57";21.04.2021;"76,57"
22.04.2021;"75,51";22.04.2021;"75,51"
23.04.2021;"74,84";23.04.2021;"74,84"
24.04.2021;"74,87";24.04.2021;"74,87"
25.04.2021;"74,91";25.04.2021;"74,91"
26.04.2021;"74,98";26.04.2021;"74,98"
27.04.2021;"74,78";27.04.2021;"74,78"
28.04.2021;"74,36";28.04.2021;"74,36"
29.04.2021;"74,73";29.04.2021;"74,73"
30.04.2021;"75,26";30.04.2021;"75,26"
01.05.2021;"75,29";01.05.2021;"75,29"
02.05.2021;"75,20";02.05.2021;"75,20"
03.05.2021;"74,89";03.05.2021;"74,89"
04.05.2021;"74,73";04.05.2021;"74,73"
05.05.2021;"74,80";05.05.2021;"74,80"
06.05.2021;"74,19";06.05.2021;"74,19"
07.05.2021;"73,72";07.05.2021;"73,72"
08.05.2021;"73,75";08.05.2021;"73,75"
09.05.2021;"73,57";09.05.2021;"73,57"
10.05.2021;"74,28";10.05.2021;"74,28"
11.05.2021;"74,17";11.05.2021;"74,17"
12.05.2021;"74,60";12.05.2021;"74,60"
13.05.2021;"74,00";13.05.2021;"74,00"
14.05.2021;"73,97";14.05.2021;"73,97"
15.05.2021;"74,01";15.05.2021;"74,01"
16.05.2021;"73,96";16.05.2021;"73,96"
17.05.2021;"73,78";17.05.2021;"73,78"
18.05.2021;"73,67";18.05.2021;"73,67"
19.05.2021;"73,73";19.05.2021;"73,73"
20.05.2021;"73,47";20.05.2021;"73,47"
21.05.2021;"73,59";21.05.2021;"73,59"
22.05.2021;"73,62";22.05.2021;"73,62"
23.05.2021;"73,61";23.05.2021;"73,61"
24.05.2021;"73,44";24.05.2021;"73,44"
25.05.2021;"73,47";25.05.2021;"73,47"
26.05.2021;"73,54";26.05.2021;"73,54"
27.05.2021;"73,44";27.05.2021;"73,44"
28.05.2021;"73,17";28.05.2021;"73,17"
29.05.2021;"73,20";29.05.2021;"73,20"
30.05.2021;"73,19";30.05.2021;"73,19"
31.05.2021;"73,40";31.05.2021;"73,40"
01.06.2021;"73,52";01.06.2021;"73,52"
02.06.2021;"73,15";02.06.2021;"73,15"
03.06.2021;"73,21";03.06.2021;"73,21"
04.06.2021;"72,83";04.06.2021;"72,83"
05.06.2021;"72,86";05.06.2021;"72,86"
06.06.2021;"73,00";06.06.2021;"73,00"
07.06.2021;"72,79";07.06.2021;"72,79"
08.06.2021;"72,24";08.06.2021;"72,24"
09.06.2021;"72,30";09.06.2021;"72,30"
10.06.2021;"71,74";10.06.2021;"71,74"
11.06.2021;"71,91";11.06.2021;"71,91"
12.06.2021;"71,95";12.06.2021;"71,95"
13.06.2021;"72,06";13.06.2021;"72,06"
14.06.2021;"72,02";14.06.2021;"72,02"
15.06.2021;"72,21";15.06.2021;"72,21"
16.06.2021;"72,57";16.06.2021;"72,57"
17.06.2021;"72,39";17.06.2021;"72,39"
18.06.2021;"72,76";18.06.2021;"72,76"
19.06.2021;"72,80";19.06.2021;"72,80"
20.06.2021;"72,80";20.06.2021;"72,80"
21.06.2021;"73,09";21.06.2021;"73,09"
22.06.2021;"72,86";22.06.2021;"72,86"
23.06.2021;"72,63";23.06.2021;"72,63"
24.06.2021;"72,30";24.06.2021;"72,30"
25.06.2021;"72,18";25.06.2021;"72,18"
26.06.2021;"72,21";26.06.2021;"72,21"
27.06.2021;"72,21";27.06.2021;"72,21"
28.06.2021;"72,20";28.06.2021;"72,20"
29.06.2021;"72,72";29.06.2021;"72,72"
30.06.2021;"73,05";30.06.2021;"73,05"
01.07.2021;"73,46";01.07.2021;"73,46"
02.07.2021;"73,16";02.07.2021;"73,16"
03.07.2021;"73,20";03.07.2021;"73,20"
04.07.2021;"73,21";04.07.2021;"73,21"
05.07.2021;"73,40";05.07.2021;"73,40"
06.07.2021;"74,50";06.07.2021;"74,50"
07.07.2021;"74,70";07.07.2021;"74,70"
08.07.2021;"74,71";08.07.2021;"74,71"
09.07.2021;"74,38";09.07.2021;"74,38"
10.07.2021;"74,42";10.07.2021;"74,42"
11.07.2021;"74,25";11.07.2021;"74,25"
12.07.2021;"74,37";12.07.2021;"74,37"
13.07.2021;"74,33";13.07.2021;"74,33"
